Date,Visitor,G,Home,G,,Att.,LOG,Notes
11/16/2019,Toronto Maple Leafs,1,Pittsburgh Penguins,6,,18587,2:26,
11/16/2019,Detroit Red Wings,3,San Jose Sharks,4,SO,17562,2:29,
11/16/2019,Anaheim Ducks,4,St. Louis Blues,1,,18096,2:25,
11/16/2019,Winnipeg Jets,4,Tampa Bay Lightning,3,,19092,2:29,
11/16/2019,Colorado Avalanche,5,Vancouver Canucks,4,OT,18409,2:30,
11/17/2019,Buffalo Sabres,1,Chicago Blackhawks,4,,21334,2:26,
11/17/2019,Calgary Flames,0,Vegas Golden Knights,6,,18083,2:36,
11/18/2019,Los Angeles Kings,0,Arizona Coyotes,3,,12210,2:19,
11/18/2019,Anaheim Ducks,2,Washington Capitals,5,,18573,2:34,
11/19/2019,Minnesota Wild,4,Buffalo Sabres,1,,15522,2:28,
11/19/2019,Montreal Canadiens,2,Columbus Blue Jackets,5,,14118,2:24,
11/19/2019,Colorado Avalanche,3,Calgary Flames,2,,18698,2:21,
11/19/2019,Carolina Hurricanes,4,Chicago Blackhawks,2,,21325,2:29,
11/19/2019,Vancouver Canucks,1,Dallas Stars,6,,18198,2:31,
11/19/2019,Ottawa Senators,4,Detroit Red Wings,3,,19156,2:35,
11/19/2019,Philadelphia Flyers,2,Florida Panthers,5,,11515,2:24,
11/19/2019,Boston Bruins,5,New Jersey Devils,1,,15061,2:21,
11/19/2019,Winnipeg Jets,2,Nashville Predators,1,,17165,2:23,
11/19/2019,New York Islanders,5,Pittsburgh Penguins,4,OT,18411,2:41,
11/19/2019,Edmonton Oilers,5,San Jose Sharks,2,,16147,2:22,
11/19/2019,Tampa Bay Lightning,1,St. Louis Blues,3,,18096,2:34,
11/19/2019,Toronto Maple Leafs,2,Vegas Golden Knights,4,,18292,2:27,
11/20/2019,Ottawa Senators,2,Montreal Canadiens,1,OT,20862,2:29,
11/20/2019,Washington Capitals,1,New York Rangers,4,,17239,2:26,
11/21/2019,Toronto Maple Leafs,3,Arizona Coyotes,1,,12495,2:23,
11/21/2019,Buffalo Sabres,2,Boston Bruins,3,,17850,2:29,
11/21/2019,Philadelphia Flyers,5,Carolina Hurricanes,3,,14734,2:31,
11/21/2019,Detroit Red Wings,4,Columbus Blue Jackets,5,,14417,2:39,
11/21/2019,Tampa Bay Lightning,4,Chicago Blackhawks,2,,21336,2:23,
11/21/2019,Winnipeg Jets,3,Dallas Stars,5,,18133,2:32,
11/21/2019,Anaheim Ducks,4,Florida Panthers,5,OT,11316,2:31,
11/21/2019,Edmonton Oilers,1,Los Angeles Kings,5,,15539,2:25,
11/21/2019,Colorado Avalanche,2,Minnesota Wild,3,,17574,2:31,
11/21/2019,Vancouver Canucks,6,Nashville Predators,3,,17168,2:45,
11/21/2019,Pittsburgh Penguins,3,New York Islanders,4,OT,13212,2:46,at Barclays Center (Brooklyn NY)
11/21/2019,Calgary Flames,0,St. Louis Blues,5,,18096,2:24,
11/21/2019,San Jose Sharks,2,Vegas Golden Knights,1,OT,18275,2:34,
